Gene	S11
BnaA01g00010D	201
BnaA01g00020D	29
BnaA01g00030D	249
BnaA01g00040D	1
BnaA01g00050D	455
BnaA01g00060D	5
BnaA01g00080D	57
BnaA01g00090D	21
BnaA01g00100D	76
BnaA01g00120D	5
BnaA01g00140D	19
BnaA01g00150D	26
BnaA01g00160D	40
BnaA01g00170D	134
BnaA01g00170D--BnaA08g15890D--BnaC03g61150D	5
BnaA01g00170D--BnaC03g61150D	3
BnaA01g00180D	37
BnaA01g00190D	274
BnaA01g00190D--BnaA08g15870D	1
BnaA01g00190D--BnaA08g15870D--BnaC03g61170D	4
BnaA01g00200D	80
BnaA01g00210D	817
BnaA01g00210D--BnaA03g54330D	16
BnaA01g00230D	3
BnaA01g00260D	1
BnaA01g00280D	4
BnaA01g00290D	56
BnaA01g00300D	51
BnaA01g00310D	88
BnaA01g00320D	37
BnaA01g00340D	8
BnaA01g00360D	42
BnaA01g00360D--BnaA03g54130D	1
BnaA01g00360D--BnaA03g54130D--BnaA06g37740D	8
BnaA01g00360D--BnaA06g37740D	46
BnaA01g00370D	4
BnaA01g00380D	14
BnaA01g00390D	49
BnaA01g00400D	289
BnaA01g00400D--BnaC09g06760D	6
BnaA01g00410D	178
BnaA01g00420D	35
BnaA01g00430D	49
BnaA01g00440D	96
BnaA01g00450D	109
BnaA01g00460D	19
BnaA01g00480D	1
BnaA01g00480D--BnaAnng33790D	30
BnaA01g00490D	3
BnaA01g00500D	18
BnaA01g00510D	18
BnaA01g00520D	1
BnaA01g00540D--BnaCnng68210D	27
BnaA01g00550D--BnaCnng68210D	13
BnaA01g00560D--BnaCnng68210D	4
BnaA01g00570D	2
BnaA01g00580D	15
BnaA01g00590D	5
BnaA01g00600D	11
BnaA01g00610D	103
BnaA01g00620D	40
BnaA01g00620D--BnaA03g53930D	4
BnaA01g00650D	182
BnaA01g00660D	51
BnaA01g00670D	203
BnaA01g00670D--BnaC03g61550D	7
BnaA01g00670D--BnaC03g61550D--BnaA08g15610D	1
BnaA01g00680D	60
BnaA01g00690D	15
BnaA01g00700D	63
BnaA01g00700D--BnaA10g05800D	23
BnaA01g00700D--BnaA10g05800D--BnaUnng02120D	24
BnaA01g00710D	54
BnaA01g00730D	10
BnaA01g00760D	103
BnaA01g00770D	489
BnaA01g00780D	13
BnaA01g00790D	11
BnaA01g00800D	18
BnaA01g00800D--BnaA08g15530D	2
BnaA01g00830D	2
BnaA01g00830D--BnaA03g53720D	3
BnaA01g00850D	57
BnaA01g00850D--BnaA06g17210D	1
BnaA01g00850D--BnaA07g00050D--BnaA06g17210D--BnaC05g30490D--BnaA01g25810D--BnaA06g03060D	4
BnaA01g00850D--BnaA08g17310D--BnaC05g16980D--BnaA09g37030D--BnaA05g27820D--BnaA07g00050D--BnaA06g17210D--BnaA01g25810D--BnaA06g03060D	3
BnaA01g00850D--BnaA08g17310D--BnaC05g16980D--BnaA09g37030D--BnaA05g27820D--BnaA07g00050D--BnaA06g17210D--BnaC05g30490D--BnaA01g25810D--BnaA06g03060D	1
BnaA01g00850D--BnaC01g30160D	1
BnaA01g00850D--BnaC02g12780D	1
BnaA01g00860D	150
BnaA01g00870D	14
BnaA01g00880D	46
BnaA01g00890D	102
BnaA01g00900D	14
BnaA01g00920D	97
BnaA01g00920D--BnaA08g15490D	4
BnaA01g00930D	133
BnaA01g00940D	43
BnaA01g00960D	1
BnaA01g00970D	110
BnaA01g00980D	22
BnaA01g00990D	455
BnaA01g01000D	29
BnaA01g01010D	2
BnaA01g01020D	85
BnaA01g01030D	23
BnaA01g01040D	225
BnaA01g01060D	2
BnaA01g01070D	26
BnaA01g01080D	17
BnaA01g01080D--BnaAnng18230D	18
BnaA01g01090D	13
BnaA01g01100D	51
BnaA01g01110D	1
BnaA01g01120D	38
BnaA01g01140D	34
BnaA01g01140D--BnaCnng53530D	4
BnaA01g01150D	65
BnaA01g01150D--BnaCnng53540D	1
BnaA01g01160D	1
BnaA01g01170D	46
BnaA01g01170D--BnaC01g40690D	23
BnaA01g01180D	150
BnaA01g01180D--BnaC01g40690D	108
BnaA01g01190D--BnaC01g40700D	2
BnaA01g01200D	1
BnaA01g01210D	1427
BnaA01g01220D	15
BnaA01g01230D	26
BnaA01g01240D	93
BnaA01g01240D--BnaA08g15220D	2
BnaA01g01240D--BnaAnng19790D	1
BnaA01g01250D	25
BnaA01g01250D--BnaC07g51180D--BnaAnng19780D	5
BnaA01g01260D	2
BnaA01g01260D--BnaAnng19770D	2
BnaA01g01260D--BnaC07g51170D	2
BnaA01g01260D--BnaC07g51170D--BnaAnng19770D	3
BnaA01g01270D	73
BnaA01g01280D	91
BnaA01g01280D--BnaA01g01260D	10
BnaA01g01300D	7
BnaA01g01310D	136
BnaA01g01320D	24
BnaA01g01330D	431
BnaA01g01330D--BnaC07g51120D	5
BnaA01g01340D	60
BnaA01g01350D	18
BnaA01g01360D	10
BnaA01g01360D--BnaA07g05850D	7
BnaA01g01370D	9
BnaA01g01400D	205
BnaA01g01410D	63
BnaA01g01420D	138
BnaA01g01430D	364
BnaA01g01440D	11
BnaA01g01460D	33
BnaA01g01470D	1598
BnaA01g01470D--BnaA08g15140D	71
BnaA01g01470D--BnaA08g15140D--BnaAnng08420D	2
BnaA01g01470D--BnaA08g15140D--BnaC03g62040D	2
BnaA01g01470D--BnaA08g15140D--BnaC07g03810D--BnaC03g62040D--BnaA07g02120D	47
BnaA01g01470D--BnaAnng08420D	24
BnaA01g01470D--BnaC03g62040D	176
BnaA01g01470D--BnaC06g01250D--BnaA08g15140D--BnaC07g03810D--BnaC03g62040D--BnaA07g02120D	2
BnaA01g01470D--BnaC06g01250D--BnaC07g03810D--BnaA07g02120D	8
BnaA01g01470D--BnaC07g03810D--BnaA07g02120D	88
BnaA01g01470D--BnaC07g03810D--BnaC03g62040D--BnaA07g02120D	1
BnaA01g01480D	11
BnaA01g01500D	26
BnaA01g01500D--BnaC05g36610D	1
BnaA01g01510D--BnaC05g36620D	1
BnaA01g01520D	36
BnaA01g01520D--BnaC01g40730D	77
BnaA01g01540D	27
BnaA01g01550D	141
BnaA01g01560D	380
BnaA01g01570D	44
BnaA01g01580D	4
BnaA01g01590D	19
BnaA01g01600D	14
BnaA01g01620D	371
BnaA01g01630D	156
BnaA01g01640D	5
BnaA01g01650D	132
BnaA01g01660D	37
BnaA01g01670D	96
BnaA01g01680D	166
BnaA01g01690D	25
BnaA01g01700D	509
BnaA01g01700D--BnaA08g14870D	17
BnaA01g01700D--BnaA08g14870D--BnaC03g62580D	9
BnaA01g01700D--BnaC03g62580D	5
BnaA01g01750D	29
BnaA01g01760D	124
BnaA01g01780D	10
BnaA01g01790D	30
BnaA01g01800D	149
BnaA01g01800D--BnaC03g62490D	7
BnaA01g01810D	59
BnaA01g01840D	6
BnaA01g01870D	22
BnaA01g01880D	14
BnaA01g01890D	1
BnaA01g01900D	247
BnaA01g01910D	17
BnaA01g01910D--BnaA03g53400D	2
BnaA01g01920D	25
BnaA01g01930D	6
BnaA01g01940D	2
BnaA01g01950D	26
BnaA01g01950D--BnaA03g53360D	4
BnaA01g01960D	12
BnaA01g01970D	38
BnaA01g01980D	320
BnaA01g01980D--BnaA08g14990D--BnaC03g62300D	1
BnaA01g01990D	65
BnaA01g02020D	52
BnaA01g02030D	51
BnaA01g02040D	10
BnaA01g02050D	124
BnaA01g02060D	93
BnaA01g02070D	37
BnaA01g02070D--BnaA03g53270D	2
BnaA01g02070D--BnaA08g15010D--BnaC03g62270D	2
BnaA01g02080D	2
BnaA01g02090D	730
BnaA01g02090D--BnaA03g53250D	19
BnaA01g02100D	84
BnaA01g02100D--BnaCnng48010D	34
BnaA01g02110D	16
BnaA01g02120D	4
BnaA01g02130D	1
BnaA01g02150D	10
BnaA01g02150D--BnaC03g65270D	1
BnaA01g02160D	142
BnaA01g02170D	95
BnaA01g02180D	101
BnaA01g02190D	71
BnaA01g02190D--BnaA08g10790D--BnaC03g65340D	1
BnaA01g02200D	1
BnaA01g02210D	10
BnaA01g02220D	121
BnaA01g02240D	54
BnaA01g02250D	19
BnaA01g02260D	107
BnaA01g02270D	31
BnaA01g02290D	62
BnaA01g02290D--BnaA03g36410D--BnaA09g18610D--BnaA09g54090D--BnaAnng14090D--BnaA03g58820D	1
BnaA01g02290D--BnaA09g54090D	93
BnaA01g02300D	69
BnaA01g02310D	5
BnaA01g02330D	51
BnaA01g02330D--BnaCnng03870D	1
BnaA01g02340D	1018
BnaA01g02350D	6
BnaA01g02350D--BnaA09g41790D	117
BnaA01g02350D--BnaA09g41790D--BnaAnng15360D	2
BnaA01g02360D--BnaA09g41780D	7
BnaA01g02370D	23
BnaA01g02380D	2
BnaA01g02390D	8
BnaA01g02420D	5
BnaA01g02430D	9
BnaA01g02440D	76
BnaA01g02440D--BnaA03g53020D	1
BnaA01g02450D	9
BnaA01g02460D	65
BnaA01g02460D--BnaA01g02450D	2
BnaA01g02470D	63
BnaA01g02480D	43
BnaA01g02490D	759
BnaA01g02490D--BnaA01g33400D--BnaC01g39890D--BnaC03g33960D--BnaC05g47000D	3
BnaA01g02490D--BnaA03g52970D	7
BnaA01g02490D--BnaC05g47000D	33
BnaA01g02500D	48
BnaA01g02510D	101
BnaA01g02520D	104
BnaA01g02520D--BnaA08g11060D	6
BnaA01g02530D	100
BnaA01g02540D	104
BnaA01g02550D	204
BnaA01g02560D	1
BnaA01g02570D	74
BnaA01g02580D	24
BnaA01g02590D	128
BnaA01g02600D	20
BnaA01g02610D	38
BnaA01g02620D	47
BnaA01g02630D	31
BnaA01g02640D	270
BnaA01g02640D--BnaA08g11150D--BnaC03g66050D	12
BnaA01g02650D	64
BnaA01g02660D	99
BnaA01g02670D	275
BnaA01g02670D--BnaA08g11170D	2
BnaA01g02670D--BnaA08g11170D--BnaC03g66090D	31
BnaA01g02670D--BnaC03g29080D	2
BnaA01g02670D--BnaC03g66090D	55
BnaA01g02690D	83
BnaA01g02700D	1
BnaA01g02710D	84
BnaA01g02720D	138
BnaA01g02740D	97
BnaA01g02740D--BnaA01g02730D	1
BnaA01g02770D	71
BnaA01g02780D	4
BnaA01g02790D	46
BnaA01g02790D--BnaCnng65330D	18
BnaA01g02800D	40
BnaA01g02800D--BnaCnng65340D	17
BnaA01g02800D--BnaCnng65740D	1
BnaA01g02810D	74
BnaA01g02810D--BnaCnng65730D	26
BnaA01g02820D	25
BnaA01g02830D	170
BnaA01g02840D	47
BnaA01g02840D--BnaC03g45080D	10
BnaA01g02850D	15
BnaA01g02860D	83
BnaA01g02870D	12
BnaA01g02880D	10
BnaA01g02890D	1
BnaA01g02900D	26
BnaA01g02910D	32
BnaA01g02920D	54
BnaA01g02920D--BnaCnng62850D	33
BnaA01g02930D	86
BnaA01g02940D	105
BnaA01g02950D	125
BnaA01g02950D--BnaA03g50930D	16
BnaA01g02950D--BnaC03g77060D	3
BnaA01g02970D	46
BnaA01g02970D--BnaA08g11350D--BnaC03g77070D	14
BnaA01g02970D--BnaA08g11350D--BnaC03g77070D--BnaCnng64910D	2
BnaA01g02970D--BnaCnng64910D	22
BnaA01g02980D	59
BnaA01g02990D	27
BnaA01g03000D	3
BnaA01g03010D	99
BnaA01g03050D	2191
BnaA01g03050D--BnaA09g08500D	31
BnaA01g03050D--BnaC06g20070D	224
BnaA01g03050D--BnaC06g20080D	81
BnaA01g03050D--BnaC06g20080D--BnaA08g11610D--BnaC03g77220D	81
BnaA01g03050D--BnaC06g20080D--BnaA09g08500D--BnaA08g11610D--BnaC03g77220D	6
BnaA01g03050D--BnaC06g20080D--BnaA09g08500D--BnaC03g77220D	1
BnaA01g03050D--BnaC06g20080D--BnaC03g77220D	28
BnaA01g03060D	255
BnaA01g03070D	29
BnaA01g03080D	24
BnaA01g03090D	1
BnaA01g03100D	3
BnaA01g03110D	15
BnaA01g03120D	32
BnaA01g03130D	15
BnaA01g03140D	9
BnaA01g03150D	941
BnaA01g03150D--BnaA03g50690D	2
BnaA01g03180D--BnaA01g03170D	1
BnaA01g03190D	1
BnaA01g03210D	19
BnaA01g03210D--BnaC02g13880D	5
BnaA01g03220D	13
BnaA01g03220D--BnaA03g50630D	1
BnaA01g03220D--BnaAnng34680D	8
BnaA01g03220D--BnaC03g66400D--BnaA03g50630D	1
BnaA01g03230D	45
BnaA01g03230D--BnaA08g11450D	1
BnaA01g03230D--BnaC03g66410D--BnaA08g11450D	7
BnaA01g03230D--BnaC04g25670D	5
BnaA01g03230D--BnaC04g25670D--BnaA08g11450D	1
BnaA01g03240D	275
BnaA01g03260D	29
BnaA01g03270D	57
BnaA01g03280D	70
BnaA01g03290D	8
BnaA01g03300D	1
BnaA01g03310D	9
BnaA01g03320D	495
BnaA01g03330D	58
BnaA01g03340D	8
BnaA01g03350D	33
BnaA01g03360D	14
BnaA01g03370D	21
BnaA01g03380D	57
BnaA01g03390D	39
BnaA01g03400D	38
BnaA01g03410D	7
BnaA01g03410D--BnaAnng40740D	13
BnaA01g03420D	18
BnaA01g03430D	84
BnaA01g03440D	15
BnaA01g03450D	27
BnaA01g03460D	12
BnaA01g03480D	9
BnaA01g03500D	22
BnaA01g03510D	138
BnaA01g03510D--BnaA08g11770D	1
BnaA01g03520D	258
BnaA01g03530D	29
BnaA01g03530D--BnaA03g52500D--BnaAnng37460D	2
BnaA01g03540D	34
BnaA01g03540D--BnaCnng66970D	6
BnaA01g03550D	71
BnaA01g03550D--BnaA03g52480D	1
BnaA01g03560D	29
BnaA01g03570D	8
BnaA01g03580D	18
BnaA01g03590D	338
BnaA01g03600D	215
BnaA01g03600D--BnaA03g52440D	6
BnaA01g03600D--BnaC03g66710D	1
BnaA01g03600D--BnaC03g66710D--BnaA08g11850D	5
BnaA01g03610D	76
BnaA01g03620D	7
BnaA01g03630D	74
BnaA01g03630D--BnaA03g52420D	5
BnaA01g03640D	56
BnaA01g03640D--BnaA03g52400D	2
BnaA01g03640D--BnaC01g40760D	8
BnaA01g03640D--BnaCnng63540D	37
BnaA01g03650D	36
BnaA01g03660D	1
BnaA01g03670D	18
BnaA01g03680D	34
BnaA01g03730D	33
BnaA01g03740D	21
BnaA01g03750D	2
BnaA01g03770D	1
BnaA01g03780D	17
BnaA01g03790D	257
BnaA01g03790D--BnaA08g11910D	1
BnaA01g03800D	56
BnaA01g03810D	27
BnaA01g03810D--BnaAnng32060D	44
BnaA01g03820D	2
BnaA01g03830D	1
BnaA01g03840D	18
BnaA01g03850D	3
BnaA01g03860D	658
BnaA01g03870D	4
BnaA01g03870D--BnaC01g00320D	3
BnaA01g03880D	29
BnaA01g03900D	1
BnaA01g03950D--BnaA01g03890D	2
BnaA01g03960D	52
BnaA01g03960D--BnaA01g03900D	9
BnaA01g03960D--BnaA01g03910D	1
BnaA01g04000D	237
BnaA01g04010D	41
BnaA01g04010D--BnaA03g52260D	1
BnaA01g04020D	49
BnaA01g04030D	271
BnaA01g04040D	21
BnaA01g04050D	28
BnaA01g04050D--BnaA03g52230D	1
BnaA01g04070D	2
BnaA01g04080D	25
BnaA01g04100D	594
BnaA01g04110D	77
BnaA01g04120D	83
BnaA01g04120D--BnaA03g02750D--BnaA08g12000D--BnaC03g66890D	6
BnaA01g04120D--BnaA08g12000D	2
BnaA01g04130D	90
BnaA01g04140D	2
BnaA01g04150D	20
BnaA01g04160D	27
BnaA01g04200D	174
BnaA01g04200D--BnaA03g52190D	4
BnaA01g04210D	1
BnaA01g04220D	7
BnaA01g04230D--BnaA01g34740D	406
BnaA01g04270D	47
BnaA01g04280D	12
BnaA01g04290D	22
BnaA01g04290D--BnaC03g67000D	1
BnaA01g04300D	95
BnaA01g04300D--BnaA04g16840D	2
BnaA01g04310D	28
BnaA01g04310D--BnaA08g12110D	1
BnaA01g04330D	1
BnaA01g04340D	107
BnaA01g04350D	54
BnaA01g04360D	199
BnaA01g04380D	47
BnaA01g04380D--BnaCnng59900D	2
BnaA01g04380D--BnaCnng61020D	19
BnaA01g04390D	10
BnaA01g04390D--BnaA01g04380D	34
BnaA01g04390D--BnaA01g04380D--BnaCnng59900D	1
BnaA01g04390D--BnaA01g04380D--BnaCnng61020D	6
BnaA01g04390D--BnaCnng59900D	17
BnaA01g04390D--BnaCnng61020D	8
BnaA01g04400D	1
BnaA01g04420D	659
BnaA01g04430D	76
BnaA01g04440D	92
BnaA01g04450D	46
BnaA01g04460D	30
BnaA01g04470D	16
BnaA01g04480D	147
BnaA01g04480D--BnaA03g52120D	1
BnaA01g04510D	114
BnaA01g04510D--BnaA08g12170D	21
BnaA01g04520D	179
BnaA01g04530D	2
BnaA01g04540D	213
BnaA01g04550D	172
BnaA01g04560D	10
BnaA01g04570D	41
BnaA01g04580D	10
BnaA01g04590D	172
BnaA01g04600D	541
BnaA01g04600D--BnaA03g52020D	3
BnaA01g04610D	61
BnaA01g04620D	552
BnaA01g04630D	1
BnaA01g04640D	57
BnaA01g04650D	38
BnaA01g04660D	357
BnaA01g04660D--BnaA08g12240D	3
BnaA01g04670D	18
BnaA01g04670D--BnaA03g51990D	1
BnaA01g04680D	30
BnaA01g04700D	364
BnaA01g04720D	23
BnaA01g04730D	84
BnaA01g04740D	136
BnaA01g04750D	81
BnaA01g04750D--BnaC02g17910D	6
BnaA01g04750D--BnaC02g17910D--BnaC02g46090D	3
BnaA01g04760D	62
BnaA01g04760D--BnaA08g30620D	2
BnaA01g04770D	129
BnaA01g04780D	68
BnaA01g04780D--BnaA08g30600D	2
BnaA01g04790D	122
BnaA01g04800D	39
BnaA01g04840D	149
BnaA01g04850D	617
BnaA01g04860D	69
BnaA01g04870D	97
BnaA01g04880D	115
BnaA01g04890D	984
BnaA01g04900D	2
BnaA01g04910D	221
BnaA01g04910D--BnaA03g51850D	3
BnaA01g04920D	612
BnaA01g04930D	4
BnaA01g04970D	110
BnaA01g04980D	202
BnaA01g04980D--BnaC01g40770D	6
BnaA01g04990D	4
BnaA01g05010D	3
BnaA01g05020D	173
BnaA01g05040D	30
BnaA01g05060D	35
BnaA01g05070D	177
BnaA01g05080D	43
BnaA01g05080D--BnaA08g07530D	7
BnaA01g05090D	76
BnaA01g05090D--BnaA08g12370D	11
BnaA01g05100D	112
BnaA01g05110D	251
BnaA01g05110D--BnaA08g12390D	4
BnaA01g05110D--BnaA08g12390D--BnaC03g67470D	1
BnaA01g05130D	692
BnaA01g05130D--BnaA02g00470D--BnaA09g17440D--BnaC02g00390D--BnaC03g77310D--BnaA08g30710D	3
BnaA01g05130D--BnaA03g02870D--BnaC03g04230D	3
BnaA01g05130D--BnaA08g30710D	2
BnaA01g05130D--BnaA09g17440D--BnaC03g77310D	55
BnaA01g05130D--BnaA09g17440D--BnaC03g77310D--BnaA08g30710D	115
BnaA01g05130D--BnaC03g04230D	4
BnaA01g05130D--BnaC03g04230D--BnaC09g46300D--BnaC03g77310D	37
BnaA01g05130D--BnaC03g77310D	79
BnaA01g05130D--BnaC03g77310D--BnaA08g30710D	3
BnaA01g05130D--BnaC09g46300D	31
BnaA01g05130D--BnaC09g46300D--BnaA09g17440D--BnaC03g77310D	24
BnaA01g05130D--BnaC09g46300D--BnaA09g17440D--BnaC03g77310D--BnaA08g30710D	2
BnaA01g05140D	28
BnaA01g05180D	35
BnaA01g05190D	1
BnaA01g05190D--BnaC01g00010D	3
BnaA01g05210D	4
BnaA01g05210D--BnaC01g00030D	1
BnaA01g05220D	229
BnaA01g05220D--BnaC01g00040D	86
BnaA01g05230D	33
BnaA01g05230D--BnaA01g30410D	8
BnaA01g05230D--BnaC01g00050D	26
BnaA01g05240D	23
BnaA01g05240D--BnaC01g00060D	5
BnaA01g05270D	2
BnaA01g05270D--BnaC01g00110D	4
BnaA01g05280D	9
BnaA01g05280D--BnaC01g00120D	10
BnaA01g05290D	1
BnaA01g05300D	45
BnaA01g05300D--BnaC01g00150D	117
BnaA01g05310D	1
BnaA01g05320D	613
BnaA01g05320D--BnaC01g00170D	37
BnaA01g05330D	1
BnaA01g05370D	15
BnaA01g05370D--BnaC01g00230D	2
BnaA01g05380D	194
BnaA01g05380D--BnaC01g00240D	124
BnaA01g05390D	394
BnaA01g05400D--BnaC01g00270D	6
BnaA01g05410D	1258
BnaA01g05410D--BnaC01g00280D	477
BnaA01g05420D	13
BnaA01g05420D--BnaC01g00290D	1
BnaA01g05430D	10
BnaA01g05430D--BnaC01g00300D	1
BnaA01g05450D	91
BnaA01g05450D--BnaC01g00330D	123
BnaA01g05480D	76
BnaA01g05480D--BnaC01g00350D	54
BnaA01g05480D--BnaC01g00350D--BnaA07g01740D	7
BnaA01g05490D	95
BnaA01g05490D--BnaC01g40650D	3
BnaA01g05490D--BnaC01g40660D	35
BnaA01g05500D	12
BnaA01g05500D--BnaA06g40630D	1
BnaA01g05510D	70
BnaA01g05510D--BnaC01g00370D	104
BnaA01g05520D	1
BnaA01g05530D	182
BnaA01g05530D--BnaC01g00410D	59
BnaA01g05530D--BnaC01g00410D--BnaC06g43280D	10
BnaA01g05540D	72
BnaA01g05540D--BnaC01g00420D	14
BnaA01g05550D	24
BnaA01g05560D	24
BnaA01g05560D--BnaC01g00440D	9
BnaA01g05570D	8
BnaA01g05570D--BnaC01g00450D	3
BnaA01g05610D	35
BnaA01g05610D--BnaA06g40470D--BnaA06g40510D	4
BnaA01g05610D--BnaA06g40510D	2
BnaA01g05610D--BnaC01g00490D	68
BnaA01g05610D--BnaC01g00490D--BnaA06g40470D--BnaA06g40510D	9
BnaA01g05610D--BnaC01g00490D--BnaC03g76410D	4
BnaA01g05620D	9
BnaA01g05620D--BnaC01g00510D	3
BnaA01g05630D	5
BnaA01g05630D--BnaC01g00520D	2
BnaA01g05660D	121
BnaA01g05660D--BnaC01g00520D--BnaC01g00540D	1
BnaA01g05660D--BnaC01g00540D	38
BnaA01g05670D	387
BnaA01g05670D--BnaC01g00550D	256
BnaA01g05670D--BnaC01g00550D--BnaC03g76360D	70
BnaA01g05680D	20
BnaA01g05680D--BnaC01g00560D	16
BnaA01g05690D	115
BnaA01g05690D--BnaC01g00570D	119
BnaA01g05690D--BnaCnng62920D	3
BnaA01g05700D	2
BnaA01g05710D	2
BnaA01g05710D--BnaC01g00590D	1
BnaA01g05720D	5
BnaA01g05720D--BnaC01g00600D	1
BnaA01g05730D	7
BnaA01g05730D--BnaC01g00610D	5
BnaA01g05740D	1
BnaA01g05760D	5
BnaA01g05770D	63
BnaA01g05780D	17
BnaA01g05800D	30
BnaA01g05810D	61
BnaA01g05820D	92
BnaA01g05830D	62
BnaA01g05840D	50
BnaA01g05890D	67
BnaA01g05890D--BnaC03g67660D	1
BnaA01g05900D	105
BnaA01g05910D	2
BnaA01g05920D	344
BnaA01g05930D	16
BnaA01g05940D	2
BnaA01g05950D	101
BnaA01g05960D	513
BnaA01g05960D--BnaC03g67710D	38
BnaA01g05980D	5
BnaA01g05990D	138
BnaA01g06000D	40
BnaA01g06010D	291
BnaA01g06020D	137
BnaA01g06030D	40
BnaA01g06040D	33
BnaA01g06060D	3
BnaA01g06080D	22
BnaA01g06080D--BnaA01g06060D	2
BnaA01g06090D	12
BnaA01g06100D	99
BnaA01g06110D	3
BnaA01g06120D	10
BnaA01g06130D	71
BnaA01g06140D	2
BnaA01g06160D	2
BnaA01g06170D	24
BnaA01g06180D	199
BnaA01g06190D	26
BnaA01g06190D--BnaC03g67820D	1
BnaA01g06210D	85
BnaA01g06220D	78
BnaA01g06230D	26
BnaA01g06240D	10
BnaA01g06250D	95
BnaA01g06260D	7
BnaA01g06270D	28
BnaA01g06280D	5
BnaA01g06290D	7
BnaA01g06300D	1
BnaA01g06310D	7
BnaA01g06330D	37
BnaA01g06340D	62
BnaA01g06350D	69
BnaA01g06370D	20
BnaA01g06370D--BnaAnng29890D	11
BnaA01g06380D	21
BnaA01g06380D--BnaAnng29900D	26
BnaA01g06390D	20
BnaA01g06390D--BnaA03g50480D	4
BnaA01g06410D	23
BnaA01g06410D--BnaAnng32430D	24
BnaA01g06420D	128
BnaA01g06430D	3
BnaA01g06440D	269
BnaA01g06440D--BnaA05g26280D	43
BnaA01g06450D	7
BnaA01g06450D--BnaA01g06370D	4
BnaA01g06460D	114
BnaA01g06460D--BnaA01g06380D	7
BnaA01g06460D--BnaA01g06380D--BnaAnng29900D	3
BnaA01g06460D--BnaA01g06390D	20
BnaA01g06490D	62
BnaA01g06500D	11
BnaA01g06520D	38
BnaA01g06530D	396
BnaA01g06540D	104
BnaA01g06550D	11
BnaA01g06570D	29
BnaA01g06570D--BnaA03g50210D	2
BnaA01g06600D	525
BnaA01g06610D	255
BnaA01g06610D--BnaA03g50170D	7
BnaA01g06610D--BnaC04g08650D--BnaA03g50170D	10
BnaA01g06610D--BnaCnng70410D	473
BnaA01g06640D	6
BnaA01g06660D	12
BnaA01g06670D	51
BnaA01g06680D	53
BnaA01g06700D	29
BnaA01g06710D	2
BnaA01g06730D	36
BnaA01g06730D--BnaA03g50070D	1
BnaA01g06740D	38
BnaA01g06750D	68
BnaA01g06760D	49
BnaA01g06760D--BnaA03g50040D	2
BnaA01g06780D	65
BnaA01g06790D	1
BnaA01g06800D	61
BnaA01g06800D--BnaAnng10960D	10
BnaA01g06810D	80
BnaA01g06820D	1653
BnaA01g06820D--BnaAnng23670D	2072
BnaA01g06830D	29
BnaA01g06830D--BnaCnng52220D	23
BnaA01g06850D	62
BnaA01g06850D--BnaAnng10840D--BnaC07g50870D	1
BnaA01g06860D	103
BnaA01g06870D	1
BnaA01g06890D	1
BnaA01g06900D	3
BnaA01g06910D	11
BnaA01g06940D	75
BnaA01g06950D	6
BnaA01g06970D	8
BnaA01g06980D	8
BnaA01g06990D	39
BnaA01g07000D	282
BnaA01g07010D	26
BnaA01g07020D	3
BnaA01g07050D	32
BnaA01g07050D--BnaCnng73910D	51
BnaA01g07060D	24
BnaA01g07070D	1
BnaA01g07090D	7
BnaA01g07100D	61
BnaA01g07110D	84
BnaA01g07120D	3
BnaA01g07130D	14
BnaA01g07140D	91
BnaA01g07150D	73
BnaA01g07160D	12
BnaA01g07170D	57
BnaA01g07190D	96
BnaA01g07200D	47
BnaA01g07200D--BnaCnng42150D	4
BnaA01g07210D	2
BnaA01g07220D	28
BnaA01g07240D	77
BnaA01g07250D	8
BnaA01g07260D	1
BnaA01g07270D	72
BnaA01g07280D	21
BnaA01g07290D	18
BnaA01g07300D	3
BnaA01g07320D	13
BnaA01g07330D	56
BnaA01g07340D	126
BnaA01g07340D--BnaC07g41980D	22
BnaA01g07350D	129
BnaA01g07360D	124
BnaA01g07420D	39
BnaA01g07430D	72
BnaA01g07440D	13
BnaA01g07450D	651
BnaA01g07460D	16
BnaA01g07470D	1015
BnaA01g07480D	56
BnaA01g07530D	1
BnaA01g07540D	136
BnaA01g07550D	16
BnaA01g07570D--BnaA01g07550D	4
BnaA01g07600D	4
BnaA01g07610D	63
BnaA01g07620D	29
BnaA01g07640D	67
BnaA01g07650D--BnaA01g07630D	2
BnaA01g07660D	26
BnaA01g07670D	3
BnaA01g07690D	140
BnaA01g07690D--BnaCnng53100D	32
BnaA01g07720D	1
BnaA01g07720D--BnaAnng17710D	4
BnaA01g07750D	137
