Gene	S8
BnaA01g00010D	159
BnaA01g00020D	2
BnaA01g00030D	143
BnaA01g00040D	2
BnaA01g00050D	195
BnaA01g00060D	59
BnaA01g00080D	79
BnaA01g00090D	6
BnaA01g00100D	64
BnaA01g00120D	1
BnaA01g00150D	8
BnaA01g00160D	43
BnaA01g00170D	8
BnaA01g00170D--BnaA08g15890D--BnaC03g61150D	1
BnaA01g00180D	12
BnaA01g00190D	1445
BnaA01g00190D--BnaA08g15870D	1
BnaA01g00190D--BnaA08g15870D--BnaC03g61170D	7
BnaA01g00200D	119
BnaA01g00210D	2040
BnaA01g00210D--BnaA03g54330D	14
BnaA01g00230D--BnaA08g31080D	1
BnaA01g00230D--BnaC03g61210D--BnaA08g31080D	1
BnaA01g00260D	1
BnaA01g00270D	8
BnaA01g00280D	2
BnaA01g00290D	3
BnaA01g00300D	2
BnaA01g00310D	111
BnaA01g00320D	30
BnaA01g00340D	22
BnaA01g00350D--BnaA01g00330D	1
BnaA01g00350D--BnaA01g00330D--BnaA01g35840D	2
BnaA01g00360D	720
BnaA01g00360D--BnaA03g54130D	6
BnaA01g00360D--BnaA03g54130D--BnaA06g37740D	48
BnaA01g00360D--BnaA06g37740D	795
BnaA01g00380D	1
BnaA01g00390D	33
BnaA01g00390D--BnaA01g00380D	1
BnaA01g00400D	22
BnaA01g00410D	236
BnaA01g00420D	11
BnaA01g00430D	5
BnaA01g00440D	76
BnaA01g00450D	1
BnaA01g00460D	11
BnaA01g00480D--BnaAnng33790D	24
BnaA01g00490D	1
BnaA01g00500D	5
BnaA01g00510D	4
BnaA01g00520D	5
BnaA01g00550D--BnaCnng68210D	3
BnaA01g00560D--BnaCnng68210D	3
BnaA01g00580D	675
BnaA01g00590D	10
BnaA01g00600D	95
BnaA01g00610D	39
BnaA01g00620D	14
BnaA01g00620D--BnaA03g53930D	4
BnaA01g00630D	1
BnaA01g00640D	10
BnaA01g00650D	58
BnaA01g00660D	44
BnaA01g00670D	84
BnaA01g00670D--BnaC03g61550D	3
BnaA01g00670D--BnaC03g61550D--BnaA08g15610D	1
BnaA01g00680D	8
BnaA01g00690D	19
BnaA01g00700D	30
BnaA01g00700D--BnaA10g05800D	3
BnaA01g00700D--BnaA10g05800D--BnaUnng02120D	18
BnaA01g00710D	14
BnaA01g00730D	5
BnaA01g00740D	2
BnaA01g00760D	24
BnaA01g00770D	201
BnaA01g00780D	6
BnaA01g00790D	88
BnaA01g00800D	7
BnaA01g00800D--BnaA08g15530D	1
BnaA01g00830D	1
BnaA01g00850D	12
BnaA01g00850D--BnaA07g00050D--BnaA06g17210D--BnaA01g25810D--BnaA06g03060D	1
BnaA01g00850D--BnaC05g16980D--BnaC02g23860D--BnaA06g17210D--BnaC05g30490D--BnaA01g25810D--BnaA06g03060D	1
BnaA01g00860D	63
BnaA01g00860D--BnaA08g15510D	1
BnaA01g00870D	5
BnaA01g00880D	21
BnaA01g00890D	71
BnaA01g00900D	9
BnaA01g00920D	21
BnaA01g00930D	55
BnaA01g00940D	17
BnaA01g00960D	2
BnaA01g00970D	51
BnaA01g00980D	3
BnaA01g00990D	125
BnaA01g01000D	4
BnaA01g01010D	173
BnaA01g01020D	81
BnaA01g01030D	14
BnaA01g01040D	940
BnaA01g01060D	2
BnaA01g01070D	48
BnaA01g01080D	136
BnaA01g01080D--BnaAnng18230D	19
BnaA01g01090D	14
BnaA01g01090D--BnaA08g15410D--BnaC03g61830D	3
BnaA01g01100D	155
BnaA01g01120D	7
BnaA01g01140D	190
BnaA01g01140D--BnaA03g53530D--BnaCnng53530D	1
BnaA01g01140D--BnaCnng53530D	35
BnaA01g01150D	23
BnaA01g01150D--BnaCnng53540D	2
BnaA01g01160D	1
BnaA01g01170D	54
BnaA01g01170D--BnaC01g40690D	14
BnaA01g01180D	80
BnaA01g01180D--BnaC01g40690D	66
BnaA01g01190D--BnaC01g40700D	2
BnaA01g01200D--BnaC01g40700D	1
BnaA01g01210D	138
BnaA01g01220D	11
BnaA01g01230D	116
BnaA01g01230D--BnaA08g15240D	1
BnaA01g01240D	8
BnaA01g01250D	3
BnaA01g01250D--BnaAnng19780D	2
BnaA01g01250D--BnaC07g51180D--BnaAnng19780D	4
BnaA01g01260D	35
BnaA01g01260D--BnaAnng19770D	3
BnaA01g01260D--BnaC07g51170D	11
BnaA01g01260D--BnaC07g51170D--BnaAnng19770D	12
BnaA01g01270D	50
BnaA01g01280D	660
BnaA01g01280D--BnaA01g01260D	84
BnaA01g01300D	72
BnaA01g01310D	81
BnaA01g01320D	1
BnaA01g01330D	48
BnaA01g01340D	35
BnaA01g01350D	1
BnaA01g01360D--BnaA07g05850D	2
BnaA01g01400D	112
BnaA01g01410D	62
BnaA01g01420D	89
BnaA01g01430D	41
BnaA01g01440D	3
BnaA01g01450D	3
BnaA01g01460D	14
BnaA01g01470D	306
BnaA01g01470D--BnaA08g15140D	10
BnaA01g01470D--BnaA08g15140D--BnaAnng08420D	1
